"","0.75900000000000001","X2","86","X4","X5","X6","X7","87","X9","X10","X11","X12","X13","X14","X15","X16","88","X18","X19","X20","X21","X22","X23"
"1","Film Attribute Totals
(sorted by winner below)",NA,"FIlm festivals","raw data","difference","raw score","weighted score","Cost of a movie ticket","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Number of cinema seats","raw data","population","per 10000","difference","raw score","weighted score"
"64","New York City","62.509849905495464","London","80","0","100","75.900000000000006","Berlin","8","1.3277000000000001","10.621600000000001","11.29","0.94079716563330396","0","100","75.900000000000006","Detroit","29410","688701","427.03582541625462","0","100","75.900000000000006"
"65","San Francisco","61.366872824537374","New York City","74","6","92.405063291139243","70.135443037974682","Paris","9.89","1.3277000000000001","13.130953000000002","12.52","1.0487981629392973","0.10800099730599333","99.601399555385299","75.597462262537448","Washington","27820","658893","422.22333520010079","4.812490216153833","98.872653642591985","75.044344114727323"
"66","London","58.307998939241621","Berlin","65","15","81.012658227848107","61.488607594936717","Sydney","18.8","0.96499999999999997","18.141999999999999","16.28","1.1143734643734642","0.17357629874016023","99.359380083719259","75.413769483542922","San Francisco","45788","1258722","363.76578783877613","63.27003757747849","85.178723863870175","64.650651412677462"
"67","Detroit","56.143149055980984","Seoul","53","27","65.822784810126578","49.959493670886076","Montreal","12.05","0.97109999999999996","11.701755","10.050000000000001","1.1643537313432835","0.2235565657099795","99.174917373808455","75.273762286720611","Chicago","87615","2718782","322.25827594856815","104.77754946768647","75.455412182647976","57.270657846629817"
"68","Berlin","54.96612963959145","Los Angeles","51","29","63.291139240506325","48.037974683544299","San Francisco","12.94","1","12.94","11.05","1.1710407239819003","0.23024355834859633","99.15023761801568","75.255030352073902","Dallas","35126","1258000","279.22098569157396","147.81483972468067","65.37374339481822","49.618671236667026"
"69","Washington","53.321635631022389","Toronto","50","30","62.025316455696199","47.077215189873414","Detroit","9.6","1","9.6","8.15","1.1779141104294477","0.23711694479614376","99.12486993658365","75.23577628186699","New York City","204680","8405837","243.49746491634326","183.53836049991136","57.005356299803545","43.26706543155089"
"70","Chicago","52.58337416299586","San Francisco","47","33","58.22784810126582","44.194936708860759","Vancouver","13.06","0.97109999999999996","12.682566","9.9499999999999993","1.2746297487437186","0.33383258311041464","98.767920488014767","74.964851650403205","Los Angeles","75585","3884307","194.59069532866479","232.44513008758983","45.548736946647374","34.571491342505354"
"71","Los Angeles","52.358945617533799","Sydney","39","41","48.101265822784804","36.508860759493665","Tehran","3","1","3","2.2400000000000002","1.3392857142857142","0.39848854865241023","98.529294019233049","74.783734160597888","Vancouver","44676","2313328","193.12436455184908","233.91146086440554","45.205242708581238","34.310779215813163"
"72","Toronto","49.842350724399154","Amsterdam","35","45","43.037974683544299","32.665822784810125","Toronto","13.993","0.97109999999999996","13.5886023","9.9499999999999993","1.3656886733668343","0.42489150773353035","98.431848333624615","74.709772885221085","Rome","50441","2889305","174.57831554647225","252.45750986978237","40.860751634014058","31.013310490216671"
"73","Seoul","45.965074708902016","Moscow","33","47","40.506329113924046","30.744303797468351","Miami","11.32","1","11.32","8.0500000000000007","1.4062111801242234","0.46541401449091946","98.282291481250056","74.5962592342688","Warsaw","29861","1724404","173.16707685669948","253.86874855955514","40.53016295229407","30.762393680791199"
"74","Dallas","43.939315627792247","Miami",NA,"80","-1.2658227848101262","29.30316455696202","Rome","8.4600000000000009","1.3277000000000001","11.232342000000003","7.97","1.4093277289836892","0.46853056335038523","98.270789200789366","74.587529003399126","Mexico City","146250","8851080","165.2340731300587","261.80175228619589","38.671822996710702","29.351913654503424"
"75","Sydney","43.132660203265139","Bogota","31","49","37.974683544303794","28.822784810126581","Chicago","11.77","1","11.77","8.25","1.4266666666666665","0.48586950103336257","98.206796196632197","74.538958313243839","Toronto","40839","2615060","156.16850091393695","270.86732450231767","36.548174042296381","27.740064098102952"
"76","Warsaw","42.961125671968112","Hong Kong","30","50","36.708860759493668","27.862025316455693","Dallas","10.41","1","10.41","7.25","1.4358620689655173","0.49506490333221331","98.172858626274873","74.513199697342628","Berlin","52995","3421829","154.87331482666141","272.16251058959324","36.244771177651678","27.509781323837625"
"77","Amsterdam","42.521062902650421","Warsaw","30","50","36.708860759493668","27.862025316455693","Los Angeles","13.07","1","13.07","9","1.4522222222222223","0.51142505658891835","98.112478032347482","74.467370826551743","London","123967","8173941","151.66123660545139","275.37458881080323","35.492328155484927","26.93867707001306"
"78","Rome","39.363570970445771","Chicago","28","52","34.177215189873408","25.940506329113916","Boston","11.89","1","11.89","8","1.4862500000000001","0.54545283436669612","97.9868913462075","74.372050531771492","Buenos Aires","36488","2890151","126.24945893830461","300.78636647795003","29.539510860987448","22.420488743489475"
"79","Paris","38.649829838473174","Sao Paulo","25","55","30.379746835443029","23.058227848101261","Washington","12.32","1","12.32","8.25","1.4933333333333334","0.55253616770002945","97.96074881154162","74.352208347960087","Boston","56283","4640802","121.27860658567205","305.75721883058259","28.375067497727571","21.536676230775228"
"80","Hong Kong","37.715833358625559","Istanbul","23","57","27.848101265822777","21.136708860759487","Amsterdam","10.53","1.3277000000000001","13.980681000000001","9.2799999999999994","1.5065389008620691","0.56574173522876514","97.912010881155382","74.315216258796937","Amsterdam","9430","813562","115.91003512946769","311.12579028678692","27.117456738266412","20.582149664344207"
"81","Vancouver","37.706222946966641","Johannesburg","23","57","27.848101265822777","21.136708860759487","New York City","13.77","1","13.77","8.75","1.5737142857142856","0.63291712008098167","97.664085964375275","74.127041246960829","Paris","73857","6500000","113.62615384615384","313.40967157010078","26.582447807369505","20.176077885793454"
"82","Buenos Aires","37.023388686660418","Mexico City","23","57","27.848101265822777","21.136708860759487","Tel Aviv","39.08","0.27729999999999999","10.836884","6.41","1.6906215288611544","0.7498243632278504","97.232615142258751","73.799554892974399","Sydney","46827","4757083","98.436373718936593","328.59945169731805","23.024177031302798","17.475350366758825"
"83","Miami","36.587150606762556","Karachi","22","58","26.582278481012651","20.175949367088602","Madrid","8.68","1.3277000000000001","11.524436","6.24","1.8468647435897434","0.90606757795643944","96.655966625927036","73.361878669078621","Dubai","18858","2213845","85.182115279073287","341.85371013718134","19.919310465097865","15.118756643009281"
"84","Bogota","36.531430744243728","Paris","22","58","26.582278481012651","20.175949367088602","Seoul","9332.35","8.9999999999999998E-4","8.3991150000000001","4.46","1.8832096412556054","0.94241247562230146","96.521828120445988","73.260067543418501","Madrid","26700","3165235","84.353926327745015","342.68189908850962","19.725303671194865","14.971505486436904"
"85","Boston","35.492360397642152","Buenos Aires","20","60","24.050632911392398","18.254430379746829","Tokyo","1796.5","1.0200000000000001E-2","18.324300000000001","9.1","2.0136593406593408","1.072862175026037","96.040376009083886","72.894645390894667","Seoul","83665","10117909","82.690010356883022","344.3458150593716","19.335524258763471","14.675662912401474"
"86","Mexico City","34.607302011245203","Detroit","19","61","22.784810126582272","17.293670886075944","Osaka","1722.73","1.0200000000000001E-2","17.571846000000001","8.39","2.0943797377830751","1.1535825721497712","95.742460369547373","72.668527420486456","Hong Kong","58206","7071600","82.309519769217715","344.7263056470369","19.246392715889328","14.608012071360001"
"87","Montreal","33.023855080894357","Montreal","16","64","18.987341772151893","14.411392405063287","Singapore","10.89","0.79949999999999999","8.7065549999999998","4","2.17663875","1.2358415843666961","95.438866146705763","72.438099405349675","Singapore","37689","5312400","70.945335441608307","356.09048997464629","16.584284071254473","12.587471610082146"
"88","Madrid","32.646993030741463","Rio De Janeiro","16","64","18.987341772151893","14.411392405063287","London","11.56","1.5636000000000001","18.075216000000001","7.85","2.302575286624204","1.3617781209909001","94.974070813849522","72.085319747711793","Caracas","19797","2906376","68.115756529781407","358.92006888647325","15.921443143591034","12.084375345985595"
"89","Sao Paulo","32.569778487859281","Tehran","15","65","17.721518987341767","13.450632911392402","Quito","5","1","5","2.13","2.347417840375587","1.4066206747422831","94.808569917479858","71.959704567367211","Bogota","48404","7776845","62.24117878136957","364.79464663488505","14.545298252168237","11.039881373395692"
"90","Tokyo","31.979579369267086","Tokyo","15","65","17.721518987341767","13.450632911392402","Hong Kong","84.22","0.12889999999999999","10.855957999999999","3.87","2.8051571059431524","1.8643599403098485","93.119186677287175","70.67746268806097","Rio De Janeiro","39314","6453682","60.917163256571989","366.11866215968263","14.235141968832423","10.804472754343809"
"91","Tehran","31.889178156903796","Rome","14","66","16.455696202531641","12.489873417721515","Buenos Aires","54.564999999999998","0.1832","9.9963079999999991","3.44","2.9059034883720929","1.965106322738789","92.747360917977545","70.395246936744954","Santiago","38877","6434576","60.418899396013039","366.61692602024158","14.118421534504336","10.715881944688791"
