"","0.749","X2","94","X4","X5","X6","X7","X8","X9","95","X11","X12","X13","X14","96","X16","X17","X18","X19","97","X21","X22","X23","X24","X25","X26","X27","X28"
"1","Food & Nightlife Attribute Totals
(sorted by winner below)",NA,"Number of restaurants in your city","raw data","population","per 10000","difference","raw score","weighted score","Last call index","raw data","difference","raw score","weighted score","Number of food festivals","raw data","difference","raw score","weighted score","Food - fast food","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"51","Tel Aviv","38.230143619182655","Tel Aviv","1023","1331300","7.6842184331104937","271.35570238633073","2.6050604260966566","1.9511902591463957","Tel Aviv","12","0","100","74.900000000000006","Tel Aviv","3","78","3.7037037037037095","2.7740740740740786","Tel Aviv","42.43","0.27729999999999999","11.765839","6.41","1.8355443057722307","1.8353210914865163","97.857556933925409","73.295310143510136"
"52","Tokyo","59.42622837247621","Tokyo","190112","13202041","144.00197666406277","135.03794415537848","51.532205531201178","38.597621942869679","Tokyo","12","0","100","74.900000000000006","Tokyo","54","27","66.666666666666671","49.933333333333337","Tokyo","639","1.0200000000000001E-2","6.5178000000000003","9.1","0.71624175824175829","0.71601854395604403","99.164163169161327","74.273958213701832"
"53","Toronto","31.980864185226125","Toronto","10091","2615060","38.588024748954133","240.45189607048712","13.697048994112919","10.259089696590577","Toronto","4","8","33.333333333333329","24.966666666666661","Toronto","20","61","24.691358024691368","18.493827160493836","Toronto","8.16","0.97109999999999996","7.9241760000000001","9.9499999999999993","0.79639959798994986","0.7961763837042356","99.070591745198158","74.203873217153415"
"54","Vancouver","29.392413490597868","Vancouver","3119","603502","51.681684567739623","227.35823625170161","18.396623005777755","13.779070631327539","Vancouver","4","8","33.333333333333329","24.966666666666661","Vancouver","5","76","6.1728395061728492","4.6234567901234644","Vancouver","8.2","0.97109999999999996","7.9630199999999993","9.9499999999999993","0.80030351758793972","0.80008030330222546","99.066034545091853","74.200459874273804"
"55","Warsaw","43.70260291333598","Warsaw","1256","1724404","7.2836759831222846","271.75624483631896","2.4612978024616297","1.8435120540437606","Warsaw","12","0","100","74.900000000000006","Warsaw","27","54","33.333333333333343","24.966666666666672","Warsaw","17.28","0.31690000000000002","5.4760320000000009","2.66","2.0586586466165415","2.0584354323308274","97.597106719136818","73.100232932633475"
"56","Washington","50.689554634019252","Washington","9623","658893","146.04799261792127","132.99192820151998","52.266561206946612","39.147654344003016","Washington","5","7","41.666666666666664","31.208333333333332","Washington","63","18","77.777777777777771","58.255555555555553","Washington","7.11","1","7.11","8.25","0.86181818181818182","0.86159496753246756","98.994226038965422","74.146675303185106"
"57",NA,"32.531777886272408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,"highest","279.03992081944125",NA,NA,NA,NA,NA,"highest","12",NA,NA,NA,"highest","81",NA,NA,NA,"highest","85.665094339622627",NA,NA,NA,NA,NA,NA,NA
"59",NA,"Africa","lowest","0.42616165136265188",NA,NA,NA,NA,NA,"lowest","0",NA,NA,NA,"lowest","0",NA,NA,NA,"lowest","2.2321428571428571E-4",NA,NA,NA,NA,NA,NA,NA
"60",NA,"Asia","difference","278.61375916807862",NA,NA,NA,NA,NA,"difference","12",NA,NA,NA,"difference","81",NA,NA,NA,"difference","85.664871125336916",NA,NA,NA,NA,NA,NA,NA
"61",NA,"Europe","count","55",NA,NA,NA,NA,NA,"count","55",NA,NA,NA,"count","55",NA,NA,NA,"count","55",NA,NA,NA,NA,NA,NA,NA
"62",NA,"Latin America","ratio","0.35891981895866548",NA,NA,NA,NA,NA,"ratio","8.3333333333333339",NA,NA,NA,"ratio","1.2345679012345678",NA,NA,NA,"ratio","1.1673396421000768",NA,NA,NA,NA,NA,NA,NA
"63",NA,"USA/Can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,"Middle East ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Tokyo","59.348207539142884","Osaka","74880","2683487","279.03992081944125","0","100","74.900000000000006","Amsterdam","12","0","100","74.900000000000006","New York City","81","0","100","74.900000000000006","Tehran","5","1E-4","5.0000000000000001E-4","2.2400000000000002","2.2321428571428571E-4","0","100","74.900000000000006"
"66","Osaka","57.165755456421024","Washington","9623","658893","146.04799261792127","132.99192820151998","52.266561206946612","39.147654344003016","Beirut","12","0","100","74.900000000000006","San Francisco","78","3","96.25","72.091250000000002","Sydney","8.68","0.96499999999999997","8.376199999999999","16.28","0.5145085995085994","0.51428538522288514","99.399654282476618","74.450341057574988"
"67","Washington","50.637540745130359","Tokyo","190112","13202041","144.00197666406277","135.03794415537848","51.532205531201178","38.597621942869679","Berlin","12","0","100","74.900000000000006","Los Angeles","77","4","95","71.155000000000001","San Francisco","7.1","1","7.1","11.05","0.64253393665158365","0.64231072236586939","99.250205231236379","74.338403718196048"
"68","New York City","48.59835893795784","Seoul","80708","10117909","79.767469741030482","199.27245107841077","28.477167935487287","21.329398783679977","Buenos Aires","12","0","100","74.900000000000006","Washington","63","18","77.5","58.047499999999999","Tokyo","639","1.0200000000000001E-2","6.5178000000000003","9.1","0.71624175824175829","0.71601854395604403","99.164163169161327","74.273958213701832"
"69","San Francisco","46.142056427042135","Hong Kong","44047","7071600","62.287176876520171","216.75274394292109","22.203144385212781","16.630155144524373","Lagos","12","0","100","74.900000000000006","Tokyo","54","27","66.25","49.621250000000003","Los Angeles","6.73","1","6.73","9","0.74777777777777787","0.74755456349206362","99.127349923402889","74.246385092628771"
"70","Los Angeles","44.357281813907591","Chicago","16598","2718782","61.049396384116122","217.99052443532514","21.75888043496856","16.297401445791451","Lima","12","0","100","74.900000000000006","Detroit",NA,"81","-1.25","42.014218750000005","Detroit","6.23","1","6.23","8.15","0.76441717791411046","0.7641939636283962","99.107926092002984","74.231836642910238"
"71","Warsaw","43.546561246669313","Mexico City","52110","8851080","58.874171287571691","220.16574953186955","20.978149037122492","15.712633628804747","Osaka","12","0","100","74.900000000000006","Chicago","31","50","37.5","28.087499999999999","Berlin","6.58","1.3277000000000001","8.7362660000000005","11.29","0.77380566873339252","0.77358245444767826","99.09696653449015","74.223627934333123"
"72","Amsterdam","42.464559173220849","Vancouver","3119","603502","51.681684567739623","227.35823625170161","18.396623005777755","13.779070631327539","Rio De Janeiro","12","0","100","74.900000000000006","Warsaw","27","54","32.5","24.342500000000001","Paris","7.39","1.3277000000000001","9.8117029999999996","12.52","0.78368234824281147","0.78345913395709721","99.08543709496648","74.2149923841299"
"73","Shanghai","41.753824862063546","San Francisco","6221","1258722","49.423145063008349","229.6167757564329","17.58598841562862","13.171905323305836","Sao Paulo","12","0","100","74.900000000000006","Montreal","25","56","30","22.47","Toronto","8.16","0.97109999999999996","7.9241760000000001","9.9499999999999993","0.79639959798994986","0.7961763837042356","99.070591745198158","74.203873217153415"
"74","Lima","41.494252150621449","Dallas","6000","1258000","47.694753577106518","231.34516724233472","16.965634456419039","12.70726020785786","Shanghai","12","0","100","74.900000000000006","Karachi","24","57","28.75","21.533750000000001","Vancouver","8.2","0.97109999999999996","7.9630199999999993","9.9499999999999993","0.80030351758793972","0.80008030330222546","99.066034545091853","74.200459874273804"
"75","Berlin","40.038066589041335","London","37450","8173941","45.816332660096272","233.22358815934498","16.291431960957539","12.202282538757196","Tel Aviv","12","0","100","74.900000000000006","Boston","20","61","23.75","17.78875","Chicago","6.67","1","6.67","8.25","0.80848484848484847","0.80826163419913422","99.056484153210761","74.193306630754861"
"76","Seoul","39.750178805473368","Lima","39895","9752000","40.909557013945857","238.13036380549539","14.530292934370451","10.883189407843467","Tokyo","12","0","100","74.900000000000006","Paris","20","61","23.75","17.78875","Osaka","675.87","1.0200000000000001E-2","6.8938740000000003","8.39","0.82167747318235995","0.82145425889664569","99.041083879418011","74.181771825684095"
"77","Sao Paulo","39.698949483292338","Toronto","10091","2615060","38.588024748954133","240.45189607048712","13.697048994112919","10.259089696590577","Warsaw","12","0","100","74.900000000000006","Rome","20","61","23.75","17.78875","Montreal","8.6","0.97109999999999996","8.3514599999999994","10.050000000000001","0.83099104477611929","0.83076783049040503","99.030211778087079","74.173628621787216"
"78","Buenos Aires","39.134605693046652","Miami","8599","2496435","34.445118739322275","244.59480208011897","12.210077919173088","9.145348361460643","Bogota","8","4","66.666666666666657","49.933333333333323","Toronto","20","61","23.75","17.78875","New York City","7.49","1","7.49","8.75","0.85599999999999998","0.85577678571428573","99.001017833246735","74.151762357101802"
"79","Chicago","39.00705201913658","Shanghai","69789","21766000","32.063309749150051","246.9766110702912","11.355199467626349","8.5050444012521353","Madrid","8","4","66.666666666666657","49.933333333333323","Seoul",NA,"81","-1.25","13.8565","Washington","7.11","1","7.11","8.25","0.86181818181818182","0.86159496753246756","98.994226038965422","74.146675303185106"
"80","Beirut","38.186494064748757","New York City","25034","8405837","29.781686225892795","249.25823459354845","10.536279565727014","7.8916733947295334","Nairobi","8","4","66.666666666666657","49.933333333333323","Amsterdam","15","66","17.5","13.1075","Miami","7.12","1","7.12","8.0500000000000007","0.88447204968944093","0.88424883540372667","98.967781280952408","74.126868179433359"
"81","Tel Aviv","38.00475010066414","Amsterdam","2405","813562","29.561361027186621","249.47855979225463","10.457200485295374","7.8324431634862348","Seoul","8","4","66.666666666666657","49.933333333333323","Dallas","15","66","17.5","13.1075","Boston","7.16","1","7.16","8","0.89500000000000002","0.89477678571428576","98.955491587204833","74.117663198816416"
"82","Rio De Janeiro","37.466804378011368","Los Angeles","10368","3884307","26.692019966495952","252.34790085294529","9.4273371112616076","7.0610754963349445","Chicago","6","6","50","37.450000000000003","Jakarta","15","66","17.5","13.1075","Dallas","6.64","1","6.64","7.25","0.91586206896551725","0.91563885467980299","98.931138467085148","74.099422711846771"
"83","Detroit","36.228932511656218","Sao Paulo","31087","11895893","26.132548434993488","252.90737238444777","9.2265316904622097","6.910672236156195","New York City","6","6","50","37.450000000000003","Caracas","13","68","15","11.234999999999999","Amsterdam","7.05","1.3277000000000001","9.3602850000000011","9.2799999999999994","1.0086514008620691","1.0084281865763547","98.822821801598323","74.018293529397141"
"84","Lagos","36.053793402150689","Beirut","4800","1900000","25.263157894736842","253.7767629247044","8.9144901951489288","6.6769531561665474","Singapore","6","6","50","37.450000000000003","Dubai","12","69","13.75","10.29875","London","5.46","1.5636000000000001","8.5372560000000011","7.85","1.0875485350318472","1.0873253207461329","98.730722049233862","73.949310814876156"
"85","Madrid","34.960915865184454","Paris","16162","6500000","24.864615384615384","254.17530543482587","8.7714453895687967","6.5698125967870284","Caracas","5","7","41.666666666666664","31.208333333333332","Madrid","12","69","13.75","10.29875","Hong Kong","34.9","0.12889999999999999","4.4986099999999993","3.87","1.1624315245478034","1.162208310262089","98.643308167052922","73.88383781712264"
"86","Montreal","32.609419268451411","Rome","6588","2889305","22.801331115960412","256.23858970348084","8.0308917734028853","6.0151379382787606","Casablanca","5","7","41.666666666666664","31.208333333333332","Manila",NA,"81","-1.25","10.29875","Seoul","5773.84","8.9999999999999998E-4","5.1964560000000004","4.46","1.1651246636771302","1.1649014493914158","98.640164358985558","73.881483104880189"
"87","Hong Kong","32.069019073745089","Madrid","7211","3165235","22.781878754658027","256.25804206478324","8.0239099354059107","6.0099085416190272","Dubai","5","7","41.666666666666664","31.208333333333332","Quito","12","69","13.75","10.29875","Rome","7.34","1.3277000000000001","9.745318000000001","7.97","1.2227500627352574","1.2225268484495431","98.572895946273178","73.831099063758614"
"88","Bogota","32.001753992415409","Sydney","8291","4757083","17.428747827187376","261.6111729922539","6.1025651520561155","4.5708212988900305","Hong Kong","5","7","41.666666666666664","31.208333333333332","Shanghai",NA,"81","-1.25","10.29875","Madrid","6.98","1.3277000000000001","9.2673460000000016","6.24","1.4851516025641027","1.4849283882783884","98.266584226682866","73.601671585785468"
"89","Toronto","31.804594895102664","Manila",NA,"11855975","17.099911306250796","261.94000951319043","5.9845392074945778","4.4824198664134256","Istanbul","5","7","41.666666666666664","31.208333333333332","London","11","70","12.5","9.3625000000000007","Singapore","7.44","0.79949999999999999","5.9482800000000005","4","1.4870700000000001","1.4868467857142857","98.264344805306635","73.599994259174665"
"90","Paris","30.885055411895898","Montreal","6061","3824220","15.848983583580443","263.19093723586082","5.5355564557433468","4.1461317853517663","Jakarta","5","7","41.666666666666664","31.208333333333332","Lima","10","71","11.25","8.4262499999999996","Shanghai","30.94","0.1615","4.99681","2.75","1.8170218181818181","1.8167986038961037","97.879178967960002","73.311505047002044"
"91","Rome","30.650413417176011","Buenos Aires","4234","2890151","14.64975359418937","264.3901672252519","5.1051290450612896","3.823741654750906","Santiago","5","7","41.666666666666664","31.208333333333332","Tehran","10","71","11.25","8.4262499999999996","Tel Aviv","42.43","0.27729999999999999","11.765839","6.41","1.8355443057722307","1.8353210914865163","97.857556933925409","73.295310143510136"
"92","Nairobi","30.283286164780318","Detroit","978","688701","14.200647305579635","264.8392735138616","4.9439358972603031","3.7030079870479669","Sydney","5","7","41.666666666666664","31.208333333333332","Berlin","9","72","10","7.49","Warsaw","17.28","0.31690000000000002","5.4760320000000009","2.66","2.0586586466165415","2.0584354323308274","97.597106719136818","73.100232932633475"
"93","Boston","29.986592004838805","Berlin","4650","3421829","13.589223774770744","265.45069704467051","4.7244838742753075","3.5386384218322053","Washington","5","7","41.666666666666664","31.208333333333332","Hong Kong","8","73","8.75","6.55375","Karachi","117.45","9.9000000000000008E-3","1.1627550000000002","0.52","2.2360673076923079","2.2358440934065937","97.39001055621118","72.945117906602178"
"94","Singapore","29.52660412561648","Boston","766","645966","11.858209255595495","267.18171156384574","4.1031884564381045","3.0732881538721402","Montreal","4.75","7.25","39.583333333333329","29.647916666666664","Johannesburg","8","73","8.75","6.55375","Quito","5.28","1","5.28","2.13","2.47887323943662","2.4786500251509058","97.106573566748992","72.732823601494999"
"95","Jakarta","29.308620276795974","Rio De Janeiro","6576","6453682","10.189532115155348","268.85038870428588","3.5042671592908761","2.624696102308866","Bangkok","4","8","33.333333333333329","24.966666666666661","Buenos Aires","7","74","7.5","5.6174999999999997","Santiago","3405.03","2E-3","6.8100600000000009","2.5299999999999998","2.6917233201581032","2.6915001058723891","96.858105229698609","72.54672081704426"
"96","Vancouver","29.172799293067001","Bangkok","7926","8280925","9.571394500010566","269.46852631943068","3.2824053183715591","2.4585215834602976","Boston","4","8","33.333333333333329","24.966666666666661","Cairo",NA,"81","-1.25","5.6174999999999997","Istanbul","13.37","0.52529999999999999","7.0232609999999998","2.4700000000000002","2.8434255060728741","2.84320229178716","96.681017254287056","72.414081923460998"
"97","Sydney","28.493623922449586","Singapore","4920","5312400","9.2613508018974482","269.77857001754381","3.1711244903755187","2.3751722432912636","Detroit","4","8","33.333333333333329","24.966666666666661","Lagos","7","74","7.5","5.6174999999999997","Jakarta","42976.6","1E-4","4.2976600000000005","1.47","2.9235782312925176","2.9233550170068034","96.587451800715812","72.34400139873614"
"98","Dubai","28.460966384500114","Moscow","10398","11503501","9.0389873482864047","270.00093347115484","3.0913138398624227","2.3153940660569545","Durban","4","8","33.333333333333329","24.966666666666661","Mexico City","7","74","7.5","5.6174999999999997","Manila","161.79","2.3599999999999999E-2","3.8182439999999995","1.29","2.9598790697674415","2.9596558554817274","96.545076392922567","72.312262218298997"
"99","Mexico City","28.173357319616677","Mumbai","11200","12442373","9.0014983476222739","270.03842247181899","3.0778582945310973","2.3053158626037917","Johannesburg","4","8","33.333333333333329","24.966666666666661","Sao Paulo","7","74","7.5","5.6174999999999997","Buenos Aires","58.05","0.1832","10.63476","3.44","3.0914999999999999","3.0912767857142858","96.39143006333201","72.197181117435676"
"100","Dallas","28.099379063259491","Quito","2339","2670000","8.760299625468166","270.27962119397307","2.9912872928425003","2.2404741823390326","Los Angeles","4","8","33.333333333333329","24.966666666666661","Bogota","6","75","6.25","4.6812500000000004","Durban","46.43","0.1038","4.8194340000000002","1.38","3.49234347826087","3.4921202639751558","95.923509580880818","71.846708676079729"
"101","Quito","27.559678612625174","Johannesburg","3800","4434827","8.5685416815582656","270.47137913788299","2.9224615663304689","2.1889237131815213","Mexico City","4","8","33.333333333333329","24.966666666666661","Durban","6","75","6.25","4.6812500000000004","Lima","14","0.37619999999999998","5.2667999999999999","1.47","3.5828571428571427","3.5826339285714286","95.817849392045844","71.767569194642334"
"102","Miami","27.293783301890166","Bogota","6158","7776845","7.9183782112154741","271.12154260822575","2.6891050112615034","2.0141396534348659","Miami","4","8","33.333333333333329","24.966666666666661","New Delhi","6","75","6.25","4.6812500000000004","Dubai","21.87","0.27229999999999999","5.9552009999999997","1.56","3.8174365384615383","3.8172133241758242","95.544015564336945","71.562467657688373"
"103","Santiago","27.28933029453675","Tel Aviv","1023","1331300","7.6842184331104937","271.35570238633073","2.6050604260966566","1.9511902591463957","Paris","4","8","33.333333333333329","24.966666666666661","Osaka","6","75","6.25","4.6812500000000004","Johannesburg","52","0.1038","5.3976000000000006","1.38","3.9113043478260878","3.9110811335403737","95.434439949348615","71.480395522062111"
"104","London","26.999356671741669","Istanbul","10533","14377018","7.3262758661079781","271.71364495333324","2.4765877447505176","1.8549642208181376","Quito","4","8","33.333333333333329","24.966666666666661","Santiago","6","75","6.25","4.6812500000000004","Bangkok","148.18","3.2599999999999997E-2","4.8306680000000002","1.22","3.9595639344262299","3.9593407201405157","95.378104620798908","71.438200360978385"
"105","Istanbul","26.603407369403115","Warsaw","1256","1724404","7.2836759831222846","271.75624483631896","2.4612978024616297","1.8435120540437606","Rome","4","8","33.333333333333329","24.966666666666661","Singapore","6","75","6.25","4.6812500000000004","Rio De Janeiro","19.89","0.46410000000000001","9.2309490000000007","2.31","3.9960818181818185","3.9958586038961044","95.335475847445409","71.406271409736604"
"106","Johannesburg","26.297433975477574","Accra","1073","2269000","4.7289554869986778","274.31096533244255","1.5443579845029518","1.1567241303927109","San Francisco","4","8","33.333333333333329","24.966666666666661","Sydney","5","76","5","3.7450000000000001","Bogota","13856.6","5.0000000000000001E-4","6.9283000000000001","1.72","4.0280813953488375","4.0278581810631229","95.298121472487907","71.378292982893441"
"107","Casablanca","26.141566208224216","Cairo","3931","10230350","3.8424882824145801","275.19743253702666","1.2261873359208408","0.91841431460470979","Toronto","4","8","33.333333333333329","24.966666666666661","Vancouver","5","76","5","3.7450000000000001","Sao Paulo","20.11","0.46410000000000001","9.3330509999999993","2.31","4.0402818181818176","4.0400586038961031","95.283879435264581","71.367625697013167"
"108","Bangkok","25.418034652776335","Caracas","991","2906376","3.4097446441891899","275.63017617525207","1.0708670676334577","0.80207943365745982","Vancouver","4","8","33.333333333333329","24.966666666666661","Bangkok","4","77","3.75","2.8087499999999999","Casablanca","51.08","0.1201","6.1347079999999998","1.47","4.1732707482993199","4.1730475340136053","95.128636185177953","71.251348502698292"
"109","Durban","25.37774901133924","Dubai","732","2213845","3.306464544717449","275.73345627472378","1.0337977930290378","0.77431454697874935","Mumbai","3.5","8.5","29.166666666666657","21.845833333333328","Mumbai","4","77","3.75","2.8087499999999999","Cairo","36.28","0.14630000000000001","5.3077640000000006","0.91","5.832707692307693","5.8324844780219784","93.191509656871574","69.800440732996805"
"110","Karachi","23.705471763403025","Santiago","2000","6434576","3.1082079067836013","275.93171291265764","0.96263955643445343","0.72101702776940557","Cairo","2","10","16.666666666666657","12.483333333333325","Nairobi","4","77","3.75","2.8087499999999999","Moscow","245.25","3.1399999999999997E-2","7.7008499999999991","1.21","6.3643388429752061","6.3641156286894915","92.570915539722108","69.335615739251864"
"111","Mumbai","23.558401789757546","Tehran","2237","8154051","2.7434216440392634","276.296499175402","0.83171053705164866","0.62295119225168483","Dallas","2","10","16.666666666666657","12.483333333333325","Beirut","3","78","2.5","1.8725000000000001","Beirut","12818.1","6.9999999999999999E-4","8.9726700000000008","1.4","6.4090500000000006","6.408826785714286","92.518722433682896","69.296523102828488"
"112","Cairo","22.204922095233712","Jakarta","2916","11374022","2.5637369085447523","276.47618391089651","0.76721812431831893","0.57464637511442085","London","2","10","16.666666666666657","12.483333333333325","Casablanca","3","78","2.5","1.8725000000000001","New Delhi","242.29","1.7100000000000001E-2","4.1431589999999998","0.62","6.6825145161290322","6.6822913018433177","92.199496463297763","69.057422851010031"
"113","Manila","21.773358021178105","New Delhi","4214","16787941","2.5101351023332761","276.52978571710798","0.7479793737370386","0.5602365509290419","Dar Es Salaam","1.5","10.5","12.5","9.3625000000000007","Moscow","3","78","2.5","1.8725000000000001","Nairobi","583","1.18E-2","6.8793999999999995","0.9","7.6437777777777773","7.6435545634920627","91.077375751480773","68.216954437859101"
"114","Tehran","20.987300298062923","Karachi","4000","23500000","1.7021276595744681","277.33779315986681","0.45796948866478715","0.34301914700992558","New Delhi","1.5","10.5","12.5","9.3625000000000007","Tel Aviv","3","78","2.5","1.8725000000000001","Mumbai","219.34","1.7100000000000001E-2","3.7507140000000003","0.43","8.7225906976744199","8.7223674833887053","89.818034663675675","67.273707963093074"
