"","Safety.Attribute.Totals","X2","Age-standardized.Road.Deaths.per.100000.(national)","raw.data.(per.100000)","Difference","Raw.score","Weighted.score","Food.safety.(national)","Raw.data","Difference","Raw.score","Weighted.score","Age.standardized.suicide.rates.per.100000.(national)","Raw.data","Difference","Raw.score","Weighted.score","Homicides","raw.data","X20","per.100,000","difference","raw.score","weighted.score"
"25","London","83.463298639311347","London",5.9,0,100,87.9,"London",100,0,100,87.9,"London",6.2,5.3,81.0714285714286,71.2617857142857,"London","83",8173941,1.0154220589554,1.0154220589554,98.7388041444365,86.7914088429597
"26","Los Angeles","73.829660805286139","Los Angeles",18.6,12.7,84.125,73.945875,"Los Angeles",100,0,100,87.9,"Los Angeles",12.1,11.2,60,52.74,"Los Angeles","255",3884307,6.56487759592638,6.56487759592638,91.8461526975478,80.7327682211445
"27","Madrid","61.739253783513426","Madrid",7.6,1.7,97.875,86.032125,"Madrid",0,100,0,0,"Madrid",5.1,4.2,85,74.715,"Madrid","49",3165235,1.54806831088371,1.54806831088371,98.0772356473876,86.2098901340537
"28","Manila","71.791560596693131","Manila",22.8,16.9,78.875,69.331125,"Manila",60,40,60,52.74,"Manila",2.9,2,92.8571428571429,81.6214285714286,"Manila","0",11855975,0,0,100,83.473688815344
"29","Mexico City","74.641627708752452","Mexico City",26.7,20.8,74,65.046,"Mexico City",93,7,93,81.747,"Mexico City",4.2,3.3,88.2142857142857,77.5403571428571,"Mexico City","1108",8851080,12.5182463608961,12.5182463608961,84.4518244506856,74.2331536921527
"30","Miami","71.1122486945616","Miami",18.6,12.7,84.125,73.945875,"Miami",100,0,100,87.9,"Miami",12.1,11.2,60,52.74,"Miami","69",417650,16.5210104154196,16.5210104154196,79.4802272790062,69.8631197782464
"31","Montreal","79.314344155347328","Montreal",11,5.1,93.625,82.296375,"Montreal",100,0,100,87.9,"Montreal",9.8,8.9,68.2142857142857,59.9603571428571,"Montreal","28",3824220,0.732175450157156,0.732175450157156,99.0906080529376,87.1006444785322
"32","Moscow","58.849860566058162","Moscow",33.2,27.3,65.875,57.904125,"Moscow",73,27,73,64.167,"Moscow",19.5,18.6,33.5714285714286,29.5092857142857,"Moscow","430",11503501,3.7379924598607,3.7379924598607,95.3572600113162,83.8190315499469
"33","Mumbai","61.915898394876905","Mumbai",41,35.1,56.125,49.333875,"Mumbai",100,0,100,87.9,"Mumbai",21.1,20.2,27.8571428571428,24.4864285714286,"Mumbai","223",12442373,1.79226261742836,1.79226261742836,97.7739363004312,85.943290008079
"34","Nairobi","42.00273211927189","Nairobi",52.3,46.4,42,36.918,"Nairobi",73,27,73,64.167,"Nairobi",16.2,15.3,45.3571428571429,39.8689285714286,"Nairobi","1749",3138369,55.7295843796571,55.7295843796571,30.7815698585426,27.056999905659
"35","New Delhi","61.558033563393494","New Delhi",41,35.1,56.125,49.333875,"New Delhi",100,0,100,87.9,"New Delhi",21.1,20.2,27.8571428571428,24.4864285714286,"New Delhi","521",16787941,3.10341810231523,3.10341810231523,96.1454273972075,84.5118306821454
"36","New York City","74.556448894795182","New York City",18.6,12.7,84.125,73.945875,"New York City",100,0,100,87.9,"New York City",12.1,11.2,60,52.74,"New York City","328",8405837,3.90205044423298,3.90205044423298,95.1534932641419,83.6399205791807
"37","Osaka","73.420905067410231","Osaka",6.4,0.5,99.375,87.350625,"Osaka",100,0,100,87.9,"Osaka",18.5,17.6,37.1428571428571,32.6485714285714,"Osaka","52",2683487,1.93777722791279,1.93777722791279,97.5932011843794,85.7844238410695
"38","Paris","76.998379766238372","Paris",11.9,6,92.5,81.3075,"Paris",100,0,100,87.9,"Paris",12.3,11.4,59.2857142857143,52.1121428571429,"Paris","73",6500000,1.12307692307692,1.12307692307692,98.6050923865878,86.6738762078107
"39","Quito","54.228101365343463","Quito",61.4,55.5,30.625,26.919375,"Quito",53,47,53,46.587,"Quito",9.2,8.3,70.3571428571429,61.8439285714286,"Quito","155",2670000,5.80524344569288,5.80524344569288,92.7896494766158,81.5621018899453
"40","Rio De Janeiro","64.602596010521594","Rio De Janeiro",52.5,46.6,41.75,36.69825,"Rio De Janeiro",93,7,93,81.747,"Rio De Janeiro",5.8,4.9,82.5,72.5175,"Rio De Janeiro","1209",6453682,18.7334919817865,18.7334919817865,76.7322344051039,67.4476340420864
"41","Rome","81.909388086575319","Rome",13,7.1,91.125,80.098875,"Rome",100,0,100,87.9,"Rome",4.7,3.8,86.4285714285714,75.9707142857143,"Rome","112",2889305,3.87636473131082,3.87636473131082,95.185395973364,83.667963060587
"42","San Francisco","72.629107043199227","San Francisco",18.6,12.7,84.125,73.945875,"San Francisco",100,0,100,87.9,"San Francisco",12.1,11.2,60,52.74,"San Francisco","138",1258722,10.9635010748998,10.9635010748998,86.382881880315,75.9305531727969
"43","Santiago","71.396129454675886","Santiago",22.8,16.9,78.875,69.331125,"Santiago",93,7,93,81.747,"Santiago",12.2,11.3,59.6428571428571,52.4260714285714,"Santiago","343",6434576,5.33057656013388,5.33057656013388,93.3792052219933,82.0803213901321
"44","Sao Paulo","65.840458019669143","Sao Paulo",52.5,46.6,41.75,36.69825,"Sao Paulo",93,7,93,81.747,"Sao Paulo",5.8,4.9,82.5,72.5175,"Sao Paulo","1689",11895893,14.1981774718384,14.1981774718384,82.3652810906445,72.3990820786766
"45","Seoul","60.992195988215343","Seoul",22.1,16.2,79.75,70.10025,"Seoul",100,0,100,87.9,"Seoul",28.9,28,0,0,"Seoul","179",10117909,1.76914024429356,1.76914024429356,97.8026552364748,85.9685339528614
"46","Shanghai","75.486657927549572","Shanghai",30.5,24.6,69.25,60.87075,"Shanghai",100,0,100,87.9,"Shanghai",7.8,6.9,75.3571428571429,66.2389285714286,"Shanghai","192",21766000,0.882109712395479,0.882109712395479,98.9043835480884,86.9369531387697
"47","Singapore","80.620801668121715","Singapore",9.8,3.9,95.125,83.614875,"Singapore",100,0,100,87.9,"Singapore",7.4,6.5,76.7857142857143,67.4946428571428,"Singapore","25.438800000000001",5312400,0.478857013779083,0.478857013779083,99.4052399434704,83.473688815344
"48","Sydney","75.896037432825551","Sydney",10.4,4.5,94.375,82.955625,"Sydney",87,13,87,76.473,"Sydney",10.6,9.7,65.3571428571429,57.4489285714286,"Sydney","52",4757083,1.09310684720027,1.09310684720027,98.6423164503682,86.7065961598736
"49","Tehran","62.059599522598873","Tehran",85.7,79.8,0.25,0.21975,"Tehran",100,0,100,87.9,"Tehran",5.2,4.3,84.6428571428571,74.4010714285714,"Tehran","163",8154051,1.99900638345284,1.99900638345284,97.5171520612333,85.7175766618241
"50","Tel Aviv","76.871251150547508","Tel Aviv",8,2.1,97.375,85.592625,"Tel Aviv",73,27,73,64.167,"Tel Aviv",5.9,5,82.1428571428571,72.2035714285714,"Tel Aviv","29",1331300,2.17832194095996,2.17832194095996,97.2944347822737,85.5218081736186
"51","Tokyo","73.705846336390323","Tokyo",6.4,0.5,99.375,87.350625,"Tokyo",100,0,100,87.9,"Tokyo",18.5,17.6,37.1428571428571,32.6485714285714,"Tokyo","118",13202041,0.893801193315488,0.893801193315488,98.8898622491353,86.9241889169899
"52","Toronto","78.919263784266008","Toronto",11,5.1,93.625,82.296375,"Toronto",100,0,100,87.9,"Toronto",9.8,8.9,68.2142857142857,59.9603571428571,"Toronto","57",2615060,2.17968230174451,2.17968230174451,97.2927451583697,85.5203229942069
"53","Vancouver","79.107150973109427","Vancouver",11,5.1,93.625,82.296375,"Vancouver",100,0,100,87.9,"Vancouver",9.8,8.9,68.2142857142857,59.9603571428571,"Vancouver","9",603502,1.49129580349361,1.49129580349361,98.1477494306946,86.2718717495806
"54","Warsaw","64.452121418761067","Warsaw",22.5,16.6,79.25,69.66075,"Warsaw",73,27,73,64.167,"Warsaw",16.6,15.7,43.9285714285714,38.6132142857143,"Warsaw","40",1724404,2.31964203284149,2.31964203284149,97.1189094304095,85.36752138933
"55","Washington","71.271969800188032","Washington",18.6,12.7,84.125,73.945875,"Washington",100,0,100,87.9,"Washington",12.1,11.2,60,52.74,"Washington","105",658893,15.9358196247342,15.9358196247342,80.2070582488647,70.5020042007521
"56",NA,NA,"highest",85.9,NA,NA,NA,"highest",100,NA,NA,NA,"highest",28.9,NA,NA,NA,"highest","80.512638419805285",NA,NA,NA,NA,NA
"57",NA,"Africa","lowest",5.9,NA,NA,NA,"lowest",0,NA,NA,NA,"lowest",0.9,NA,NA,NA,"lowest","0",NA,NA,NA,NA,NA
"58",NA,"Asia","difference",80,NA,NA,NA,"difference",100,NA,NA,NA,"difference",28,NA,NA,NA,"difference","80.512638419805285",NA,NA,NA,NA,NA
"59",NA,"Europe","count",55,NA,NA,NA,"count",55,NA,NA,NA,"count",55,NA,NA,NA,"count","55",NA,NA,NA,NA,NA
"60",NA,"Latin America","ratio",1.25,NA,NA,NA,"ratio",1,NA,NA,NA,"ratio",3.57142857142857,NA,NA,NA,"ratio","1.2420410256410257",NA,NA,NA,NA,NA
"61",NA,"USA/Can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,"Middle East ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","London","83.463298639311347","London",5.9,0,100,87.9,"Amsterdam",100,0,100,87.9,"Beirut",0.9,0,100,87.9,"Montreal","28",3824220,0.732175450157156,0.732175450157156,99.0906080529376,87.1006444785322
"64","Rome","81.909388086575319","Osaka",6.4,0.5,99.375,87.350625,"Bangkok",100,0,100,87.9,"Cairo",1.7,0.8,97.1428571428571,85.3885714285714,"Casablanca","35",4055807,0.862960195098041,0.862960195098041,98.928168034193,86.9578597020557
"65","Amsterdam","81.151967433467206","Tokyo",6.4,0.5,99.375,87.350625,"Boston",100,0,100,87.9,"Caracas",2.6,1.7,93.9285714285714,82.5632142857143,"Hong Kong","62",7071600,0.876746422308954,0.876746422308954,98.9110449744083,86.9428085325049
"66","Singapore","80.620801668121715","Amsterdam",6.8,0.899999999999999,98.875,86.911125,"Casablanca",100,0,100,87.9,"Manila",2.9,2,92.8571428571429,81.6214285714286,"Shanghai","192",21766000,0.882109712395479,0.882109712395479,98.9043835480884,86.9369531387697
"67","Dubai","79.819007768361445","Madrid",7.6,1.7,97.875,86.032125,"Chicago",100,0,100,87.9,"Durban",3,2.1,92.5,81.3075,"Tokyo","118",13202041,0.893801193315488,0.893801193315488,98.8898622491353,86.9241889169899
"68","Montreal","79.314344155347328","Berlin",7.8,1.9,97.625,85.812375,"Dallas",100,0,100,87.9,"Johannesburg",3,2.1,92.5,81.3075,"London","83",8173941,1.0154220589554,1.0154220589554,98.7388041444365,86.7914088429597
"69","Vancouver","79.107150973109427","Tel Aviv",8,2.1,97.375,85.592625,"Detroit",100,0,100,87.9,"Accra",3.1,2.2,92.1428571428571,80.9935714285714,"Sydney","52",4757083,1.09310684720027,1.09310684720027,98.6423164503682,86.7065961598736
"70","Toronto","78.919263784266008","Singapore",9.8,3.9,95.125,83.614875,"Dubai",100,0,100,87.9,"Dubai",3.2,2.3,91.7857142857143,80.6796428571429,"Paris","73",6500000,1.12307692307692,1.12307692307692,98.6050923865878,86.6738762078107
"71","Paris","76.998379766238372","Sydney",10.4,4.5,94.375,82.955625,"Hong Kong",100,0,100,87.9,"Lima",3.2,2.3,91.7857142857143,80.6796428571429,"Accra","29",2269000,1.27809607756721,1.27809607756721,98.4125522369506,86.5046334162796
"72","Tel Aviv","76.871251150547508","Montreal",11,5.1,93.625,82.296375,"Jakarta",100,0,100,87.9,"Mexico City",4.2,3.3,88.2142857142857,77.5403571428571,"Beirut","25",1900000,1.31578947368421,1.31578947368421,98.3657354925776,86.4634814979757
"73","Casablanca","76.327719389799626","Toronto",11,5.1,93.625,82.296375,"London",100,0,100,87.9,"Rome",4.7,3.8,86.4285714285714,75.9707142857143,"Vancouver","9",603502,1.49129580349361,1.49129580349361,98.1477494306946,86.2718717495806
"74","Sydney","75.896037432825551","Vancouver",11,5.1,93.625,82.296375,"Los Angeles",100,0,100,87.9,"Madrid",5.1,4.2,85,74.715,"Madrid","49",3165235,1.54806831088371,1.54806831088371,98.0772356473876,86.2098901340537
"75","Hong Kong","75.488121775983373","Paris",11.9,6,92.5,81.3075,"Miami",100,0,100,87.9,"Tehran",5.2,4.3,84.6428571428571,74.4010714285714,"Seoul","179",10117909,1.76914024429356,1.76914024429356,97.8026552364748,85.9685339528614
"76","Shanghai","75.486657927549572","Rome",13,7.1,91.125,80.098875,"Montreal",100,0,100,87.9,"Casablanca",5.3,4.4,84.2857142857143,74.0871428571429,"Mumbai","223",12442373,1.79226261742836,1.79226261742836,97.7739363004312,85.943290008079
"77","Beirut","74.658026624493928","Dubai",18.2,12.3,84.625,74.385375,"Mumbai",100,0,100,87.9,"Bogota",5.4,4.5,83.9285714285714,73.7732142857143,"Osaka","52",2683487,1.93777722791279,1.93777722791279,97.5932011843794,85.7844238410695
"78","Mexico City","74.641627708752452","Boston",18.6,12.7,84.125,73.945875,"New Delhi",100,0,100,87.9,"Rio De Janeiro",5.8,4.9,82.5,72.5175,"Tehran","163",8154051,1.99900638345284,1.99900638345284,97.5171520612333,85.7175766618241
"79","New York City","74.556448894795182","Chicago",18.6,12.7,84.125,73.945875,"New York City",100,0,100,87.9,"Sao Paulo",5.8,4.9,82.5,72.5175,"Tel Aviv","29",1331300,2.17832194095996,2.17832194095996,97.2944347822737,85.5218081736186
"80","Lima","73.973379424451679","Dallas",18.6,12.7,84.125,73.945875,"Osaka",100,0,100,87.9,"Tel Aviv",5.9,5,82.1428571428571,72.2035714285714,"Toronto","57",2615060,2.17968230174451,2.17968230174451,97.2927451583697,85.5203229942069
"81","Los Angeles","73.829660805286139","Detroit",18.6,12.7,84.125,73.945875,"Paris",100,0,100,87.9,"London",6.2,5.3,81.0714285714286,71.2617857142857,"Warsaw","40",1724404,2.31964203284149,2.31964203284149,97.1189094304095,85.36752138933
"82","Tokyo","73.705846336390323","Los Angeles",18.6,12.7,84.125,73.945875,"Rome",100,0,100,87.9,"Singapore",7.4,6.5,76.7857142857143,67.4946428571428,"Amsterdam","23",813562,2.82707402754799,2.82707402754799,96.4886580752612,84.8135304481546
"83","Osaka","73.420905067410231","Miami",18.6,12.7,84.125,73.945875,"San Francisco",100,0,100,87.9,"Hong Kong",7.8,6.9,75.3571428571429,66.2389285714286,"Berlin","106",3421829,3.09775853790473,3.09775853790473,96.1524568083926,84.5180095345771
"84","Boston","73.213060973596441","New York City",18.6,12.7,84.125,73.945875,"Seoul",100,0,100,87.9,"Shanghai",7.8,6.9,75.3571428571429,66.2389285714286,"New Delhi","521",16787941,3.10341810231523,3.10341810231523,96.1454273972075,84.5118306821454
"85","Berlin","73.041515776501413","San Francisco",18.6,12.7,84.125,73.945875,"Shanghai",100,0,100,87.9,"Istanbul",7.9,7,75,65.925,"Istanbul","472",14377018,3.28301738232504,3.28301738232504,95.9223577232597,84.3157524387453
"86","Dallas","72.64908587180507","Washington",18.6,12.7,84.125,73.945875,"Singapore",100,0,100,87.9,"Lagos",8.17142857142857,7.27142857142857,74.030612244898,65.0729081632653,"Lagos","442",13400000,3.29850746268657,3.29850746268657,95.9031184079602,84.298841080597
"87","San Francisco","72.629107043199227","Seoul",22.1,16.2,79.75,70.10025,"Tehran",100,0,100,87.9,"Amsterdam",8.2,7.3,73.9285714285714,64.9832142857143,"Moscow","430",11503501,3.7379924598607,3.7379924598607,95.3572600113162,83.8190315499469
"88","Manila","71.791560596693131","Warsaw",22.5,16.6,79.25,69.66075,"Tokyo",100,0,100,87.9,"Berlin",9.2,8.3,70.3571428571429,61.8439285714286,"Rome","112",2889305,3.87636473131082,3.87636473131082,95.185395973364,83.667963060587
"89","Chicago","71.535595893642324","Manila",22.8,16.9,78.875,69.331125,"Toronto",100,0,100,87.9,"Quito",9.2,8.3,70.3571428571429,61.8439285714286,"New York City","328",8405837,3.90205044423298,3.90205044423298,95.1534932641419,83.6399205791807
"90","Santiago","71.396129454675886","Santiago",22.8,16.9,78.875,69.331125,"Vancouver",100,0,100,87.9,"Montreal",9.8,8.9,68.2142857142857,59.9603571428571,"Bangkok","n/a",8280925,1.92593014404636,1.92593014404636,97.6079157485757,83.473688815344
"91","Washington","71.271969800188032","Istanbul",23.5,17.6,78,68.562,"Washington",100,0,100,87.9,"Toronto",9.8,8.9,68.2142857142857,59.9603571428571,"Jakarta",NA,11374022,0,0,100,83.473688815344
"92","Miami","71.1122486945616","Buenos Aires",26.4,20.5,74.375,65.375625,"Mexico City",93,7,93,81.747,"Vancouver",9.8,8.9,68.2142857142857,59.9603571428571,"Manila",NA,11855975,0,0,100,83.473688815344
"93","Cairo","70.097633473297336","Mexico City",26.7,20.8,74,65.046,"Rio De Janeiro",93,7,93,81.747,"Buenos Aires",10.3,9.4,66.4285714285714,58.3907142857143,"Singapore","25.438800000000001",5312400,1.3693662719577,1.3693662719577,98.2991909110994,83.473688815344
"94","Jakarta","66.603890953835986","Lima",29.7,23.8,70.25,61.74975,"Santiago",93,7,93,81.747,"Sydney",10.6,9.7,65.3571428571429,57.4489285714286,"Lima","415",9752000,4.25553732567678,4.25553732567678,94.7144480553627,83.2539998406639
"95","Accra","65.882238711212764","Hong Kong",30.5,24.6,69.25,60.87075,"Sao Paulo",93,7,93,81.747,"Boston",12.1,11.2,60,52.74,"Santiago","343",6434576,5.33057656013388,5.33057656013388,93.3792052219933,82.0803213901321
"96","Sao Paulo","65.840458019669143","Shanghai",30.5,24.6,69.25,60.87075,"Caracas",87,13,87,76.473,"Chicago",12.1,11.2,60,52.74,"Quito","155",2670000,5.80524344569288,5.80524344569288,92.7896494766158,81.5621018899453
"97","Bogota","65.095448349932965","Beirut",31.2,25.3,68.375,60.101625,"Sydney",87,13,87,76.473,"Dallas",12.1,11.2,60,52.74,"Buenos Aires","176",2890151,6.08964721912454,6.08964721912454,92.4364083221665,81.2516029151844
"98","Rio De Janeiro","64.602596010521594","Cairo",31.6,25.7,67.875,59.662125,"Cairo",80,20,80,70.32,"Detroit",12.1,11.2,60,52.74,"Los Angeles","255",3884307,6.56487759592638,6.56487759592638,91.8461526975478,80.7327682211445
"99","Warsaw","64.452121418761067","Moscow",33.2,27.3,65.875,57.904125,"Durban",80,20,80,70.32,"Los Angeles",12.1,11.2,60,52.74,"Boston","57",645966,8.82399383249273,8.82399383249273,89.0402376500406,78.2663688943857
"100","Buenos Aires","64.43948555022466","Jakarta",34.4,28.5,64.375,56.585625,"Johannesburg",80,20,80,70.32,"Miami",12.1,11.2,60,52.74,"Dubai","235",2213845,10.6150159564016,10.6150159564016,86.815714694315,76.3110132163029
"101","Detroit","62.42437369378883","Casablanca",34.6,28.7,64.125,56.365875,"Lima",79.875,20.125,79.875,70.210125,"New York City",12.1,11.2,60,52.74,"Dallas","137",1258000,10.8903020667727,10.8903020667727,86.4737980514451,76.0104684872203
"102","Tehran","62.059599522598873","Bogota",35.8,29.9,62.625,55.047375,"Beirut",73,27,73,64.167,"San Francisco",12.1,11.2,60,52.74,"San Francisco","138",1258722,10.9635010748998,10.9635010748998,86.382881880315,75.9305531727969
"103","Mumbai","61.915898394876905","Dar Es Salaam",40.8,34.9,56.375,49.553625,"Moscow",73,27,73,64.167,"Washington",12.1,11.2,60,52.74,"Mexico City","1108",8851080,12.5182463608961,12.5182463608961,84.4518244506856,74.2331536921527
"104","Madrid","61.739253783513426","Karachi",40.8,34.9,56.375,49.553625,"Nairobi",73,27,73,64.167,"Santiago",12.2,11.3,59.6428571428571,52.4260714285714,"Karachi","3200",23500000,13.6170212765957,13.6170212765957,83.0871009274414,73.033561715221
"105","New Delhi","61.558033563393494","Accra",40.9,35,56.25,49.44375,"Tel Aviv",73,27,73,64.167,"Paris",12.3,11.4,59.2857142857143,52.1121428571429,"Bogota","1085",7776845,13.9516732042364,13.9516732042364,82.6714495040018,72.6682041140176
"106","Seoul","60.992195988215343","Mumbai",41,35.1,56.125,49.333875,"Warsaw",73,27,73,64.167,"Nairobi",16.2,15.3,45.3571428571429,39.8689285714286,"Sao Paulo","1689",11895893,14.1981774718384,14.1981774718384,82.3652810906445,72.3990820786766
"107","Lagos","60.526562310965573","New Delhi",41,35.1,56.125,49.333875,"Berlin",68.25,31.75,68.25,59.99175,"Warsaw",16.6,15.7,43.9285714285714,38.6132142857143,"Chicago","407",2718782,14.969938744629,14.969938744629,81.4067219278376,71.5565085745693
"108","Durban","60.128447864156534","Durban",47.7,41.8,47.75,41.97225,"Bogota",67,33,67,58.893,"Bangkok",16.65,15.75,43.75,38.45625,"Washington","105",658893,15.9358196247342,15.9358196247342,80.2070582488647,70.5020042007521
"109","Moscow","58.849860566058162","Johannesburg",47.7,41.8,47.75,41.97225,"Lagos",67,33,67,58.893,"Jakarta",16.65,15.75,43.75,38.45625,"Miami","69",417650,16.5210104154196,16.5210104154196,79.4802272790062,69.8631197782464
"110","Bangkok","56.742609703836003","Nairobi",52.3,46.4,42,36.918,"Buenos Aires",60,40,60,52.74,"Karachi",16.65,15.75,43.75,38.45625,"Rio De Janeiro","1209",6453682,18.7334919817865,18.7334919817865,76.7322344051039,67.4476340420864
"111","Johannesburg","54.970388370852632","Rio De Janeiro",52.5,46.6,41.75,36.69825,"Dar Es Salaam",60,40,60,52.74,"Osaka",18.5,17.6,37.1428571428571,32.6485714285714,"Cairo","2144",10230350,20.9572497519635,20.9572497519635,73.9702360234561,65.0198374646179
